DE Ref,Name,Phase,District,District Inspector
1136228,St Bernadette's Nursery School,Nursery,BSE2,Maire Gorman
1136229,St Mary's Nursery School,Nursery,BSE3,Mairead Leonard
1136251,Our Lady's Nursery School,Nursery,BSE3,Mairead Leonard
1136289,Holy Rosary Nursery School,Nursery,BSE1,Mairead Leonard
1136314,St Teresa's Nursery School,Nursery,BSE2,Maire Gorman
1136315,St Michael's Nursery School,Nursery,BSE2,Maire Gorman
1136316,Holy Child Nursery School,Nursery,BSE2,Maire Gorman
1136340,St Peter's Nursery School,Nursery,BSE2,Maire Gorman
1136349,Matt Talbot Nursery School,Nursery,BSE2,Maire Gorman
1136353,St Maria Goretti Nursery School,Nursery,BSE2,Maire Gorman
1136360,Holy Cross Nursery School,Nursery,BSE3,Mairead Leonard
1136383,St Oliver Plunkett Nursery School,Nursery,BSE2,Maire Gorman
1136603,The Cathedral Nursery School,Nursery,BSE2,Maire Gorman
1150028,Brefne Nursery School,Nursery,BSE3,Mairead Leonard
1210014,Ashfield Girls' High School,Post-primary,BSE1,Cathy Buhac
1210015,Ashfield Boys' High School,Post-primary,BSE1,Cathy Buhac
1210021,Belfast Model School For Girls,Post-primary,BSE3,Julie Harris
1210022,Belfast Boys' Model School,Post-primary,BSE3,Julie Harris
1230053,St Louise's Comprehensive College,Post-primary,BSE1,Cathy Buhac
1230104,Mercy College,Post-primary,BSE3,Julie Harris
1230155,St Genevieve's High School,Post-primary,BSE1,Cathy Buhac
1230182,De La Salle College,Post-primary,BSE1,Cathy Buhac
1230275,"St Joseph's College, Belfast",Post-primary,BSE2,Wendy Crawford
1230321,Blessed Trinity College ,Post-primary,BSE3,Julie Harris
1230324,All Saints College,Post-primary,BSE2,Wendy Crawford
1240291,Colaiste Feirste,Post-primary,BSE3,Julie Harris
1260269,Hazelwood College,Post-primary,BSE3,Julie Harris
1260294,Malone Integrated College,Post-primary,BSE2,Wendy Crawford
1310003,Cedar Lodge Special School,Special,BSE3,Julie Harris
1310012,Fleming Fulton Special School,Special,BSE2,Wendy Crawford
1310014,Harberton Special School,Special,BSE2,Wendy Crawford
1310016,Mitchell House Special School,Special,BSE1,Cathy Buhac
1310017,Greenwood House Assessment Centre,Special,BSE1,Cathy Buhac
1316500,Park Education Resource Centre,Special,BSE1,Cathy Buhac
1316560,Belfast Hospital School (inc TOPS),Special,BSE3,Julie Harris
1316569,Glenveagh Special School,Special,BSE2,Wendy Crawford
1316582,Oakwood School and Assessment Centre,Special,BSE2,Wendy Crawford
1316584,Clarawood Special School,Special,BSE1,Cathy Buhac
1336548,St Gerard’s Education Resource Centre,Special,BSE3,Julie Harris
1316696,Deanby Centre Special School (new school),Special,BSE3,Julie Harris
1410079,Grosvenor Grammar School,Post-primary,BSE1,Cathy Buhac
1410270,Wellington College,Post-primary,BSE2,Wendy Crawford
1410315,Bloomfield Collegiate,Post-primary,BSE2,Wendy Crawford
1420020,Campbell College,Post-primary,BSE1,Cathy Buhac
1420021,"St Mary's Christian Brothers' Grammar, Belfast",Post-primary,BSE2,Wendy Crawford
1420022,Methodist College,Post-primary,BSE2,Wendy Crawford
1420027,The Royal Belfast Academical Institution,Post-primary,BSE3,Julie Harris
1420028,Belfast Royal Academy,Post-primary,BSE3,Julie Harris
1420029,"St Dominic's High School, Belfast",Post-primary,BSE2,Wendy Crawford
1420030,"St Malachy's College, Belfast",Post-primary,BSE3,Julie Harris
1420082,"Dominican College, Belfast",Post-primary,BSE3,Julie Harris
1420089,"Strathearn School, Belfast",Post-primary,BSE1,Cathy Buhac
1420095,Rathmore Grammar School,Post-primary,BSE2,Wendy Crawford
1420264,Victoria College,Post-primary,BSE2,Wendy Crawford
1420265,Hunterhouse College,Post-primary,BSE2,Wendy Crawford
1420277,Aquinas Diocesan Grammar School,Post-primary,BSE1,Cathy Buhac
1620020,Campbell College Junior School,Prep,BSE1,Cathy Buhac
1620022,Fullerton House Preparatory School,Prep,BSE1,Cathy Buhac
1620027,Inchmarlo,Prep,BSE3,Julie Harris
1620028,Ben Madigan Preparatory School,Prep,BSE3,Julie Harris
1620089,Strathearn Prep Dept,Prep,BSE1,Cathy Buhac
1620264,Victoria College Preparatory School,Prep,BSE1,Cathy Buhac
2010380,Londonderry Model Primary School,Primary,N6,Susan Haughey
2010382,Ebrington Controlled Primary School,Primary,N6,Susan Haughey
2011787,Kesh Primary School,Primary,SW8,Mairead Leonard
2011789,Moat Primary School,Primary,SW5,Aisling Clerkin
2011860,Belleek Primary School,Primary,SW5,Aisling Clerkin
2011873,Aghadrumsee Primary School,Primary,SW5,Aisling Clerkin
2011879,Newtownbutler Primary School,Primary,SW5,Aisling Clerkin
2011881,Florencecourt Primary School,Primary,SW5,Aisling Clerkin
2011893,Ballinamallard Primary School,Primary,SW8,Mairead Leonard
2011894,Brookeborough Primary School,Primary,SW5,Aisling Clerkin
2011899,Derrygonnelly Primary School,Primary,SW5,Aisling Clerkin
2012052,Culmore Primary School,Primary,N6,Susan Haughey
2012095,Ballougry Primary School,Primary,N6,Susan Haughey
2012227,Drumahoe Primary School,Primary,N7,Deirdre Nic Suibhne
2012245,Eglinton Primary School,Primary,N7,Deirdre Nic Suibhne
2012261,Newbuildings Primary School,Primary,N6,Susan Haughey
2012298,Ballykelly Primary School,Primary,N1,John McCusker
2012344,McClintock Primary School,Primary,SW7,Seán Fearon
2012638,Edwards Primary School,Primary,N3,Gearoid Rafferty
2012641,Killen Primary School,Primary,N3,Gearoid Rafferty
2012660,Denamona Primary School,Primary,SW7,Seán Fearon
2012669,"Queen Elizabeth II Primary School, Omagh",Primary,SW8,Mairead Leonard
2012671,Langfield Primary School,Primary,SW8,Mairead Leonard
2012691,Omagh County Primary School,Primary,SW7,Seán Fearon
2012707,Dromore Primary School,Primary,SW8,Mairead Leonard
2012708,Strabane Controlled Primary School,Primary,N6,Susan Haughey
2012711,Donemana Primary School,Primary,N7,Deirdre Nic Suibhne
2016003,Jones Memorial Primary School,Primary,SW5,Aisling Clerkin
2016029,Drumachose Primary School,Primary,N7,Deirdre Nic Suibhne
2016068,Artigarvan Primary School,Primary,N7,Deirdre Nic Suibhne
2016071,Greenhaw Primary School,Primary,N6,Susan Haughey
2016089,Gibson Primary School,Primary,SW7,Seán Fearon
2016102,Tempo Primary School,Primary,SW5,Aisling Clerkin
2016124,Ashlea Primary,Primary,N7,Deirdre Nic Suibhne
2016127,Maguiresbridge Primary School,Primary,SW5,Aisling Clerkin
2016151,Irvinestown Primary School,Primary,SW8,Mairead Leonard
2016152,Enniskillen Model Primary School,Primary,SW5,Aisling Clerkin
2016203,Lisnagelvin Primary School,Primary,N6,Susan Haughey
2016218,Lisbellaw Primary School,Primary,SW5,Aisling Clerkin
2016262,Newtownstewart Model Primary School,Primary,N7,Deirdre Nic Suibhne
2016372,Cumber Claudy Primary School,Primary,N7,Deirdre Nic Suibhne
2016395,Gortin Primary School,Primary,SW7,Seán Fearon
2016426,Limavady Central Primary School,Primary,N7,Deirdre Nic Suibhne
2016564,Fountain Primary School,Primary,N6,Susan Haughey
2016645,Bready Jubilee Primary School,Primary,N7,Deirdre Nic Suibhne
2016656,Drumrane Primary School,Primary,N7,Deirdre Nic Suibhne
2016663,Cooley Primary School,Primary,SW7,Seán Fearon
2016700,Gaelscoil Neachtain,Primary,N7,Deirdre Nic Suibhne
2016701,Ardstraw Jubilee Primary School,Primary,N7,Deirdre Nic Suibhne
2030364,Rosemount Primary School,Primary,N6,Susan Haughey
2030373,Nazareth House Primary School,Primary,N6,Susan Haughey
2030381,"Holy Child Primary School, Londonderry",Primary,N6,Susan Haughey
2031828,"St Patrick's Primary School, Mullanaskea",Primary,SW5,Aisling Clerkin
2031863,Tattygar Primary School,Primary,SW5,Aisling Clerkin
2031868,"St Tierney's Primary School, Roslea",Primary,SW5,Aisling Clerkin
2031869,"St Mary's Primary School, Newtownbutler",Primary,SW5,Aisling Clerkin
2031874,"St Patrick's Primary School, Derrygonnelly",Primary,SW5,Aisling Clerkin
2031876,"St Mary's Primary School, Brookeborough",Primary,SW5,Aisling Clerkin
2031880,"St Ninnidh's Primary School, Derrylin",Primary,SW5,Aisling Clerkin
2031884,"St Mary's Primary School, Killesher",Primary,SW5,Aisling Clerkin
2031890,"St Mary's Primary School, Mullymesker",Primary,SW5,Aisling Clerkin
2031895,"St Mary's Primary School, Maguiresbridge",Primary,SW5,Aisling Clerkin
2031897,Killyhommon Primary School,Primary,SW5,Aisling Clerkin
2031898,"St Paul's Primary School, Irvinestown",Primary,SW8,Mairead Leonard
2031901,"St Ronan's Primary School, Lisnaskea",Primary,SW5,Aisling Clerkin
2032212,Glendermott Primary School,Primary,N7,Deirdre Nic Suibhne
2032263,"St Canice's Primary School, Feeny",Primary,N7,Deirdre Nic Suibhne
2032278,Broadbridge Primary School,Primary,N7,Deirdre Nic Suibhne
2032286,"St Matthew's Primary School, Limavady",Primary,N7,Deirdre Nic Suibhne
2032287,Termoncanice Primary School,Primary,N7,Deirdre Nic Suibhne
2032294,"St Mary's Primary School, Altinure",Primary,N7,Deirdre Nic Suibhne
2032573,"St Brigid's Primary School, Altamuskin",Primary,SW7,Seán Fearon
2032603,Tummery Primary School,Primary,SW8,Mairead Leonard
2032607,"St Mary's Primary School, Killyclogher",Primary,SW7,Seán Fearon
2032628,Knocknagor Primary School,Primary,SW8,Mairead Leonard
2032662,"St Brigid's Primary School, Mountfield",Primary,SW7,Seán Fearon
2032676,"St Patrick's Primary School, Gortin",Primary,SW7,Seán Fearon
2032682,"St Eugene's Primary School, Victoria Bridge",Primary,N6,Susan Haughey
2032684,St Lawrence's Primary School,Primary,SW7,Seán Fearon
2032685,"St Brigid's Primary School, Cranagh",Primary,N7,Deirdre Nic Suibhne
2032694,St Caireall's Primary School,Primary,N3,Gearoid Rafferty
2032700,"St Joseph's Primary School, Drumquin",Primary,SW7,Seán Fearon
2032704,St Ronan's Recarson Primary School ,Primary,SW7,Seán Fearon
2032705,"St Patrick's Primary School, Eskra",Primary,SW7,Seán Fearon
2032721,"Sacred Heart Primary School, Tattyreagh",Primary,SW7,Seán Fearon
2032723,Roscavey Primary School,Primary,SW7,Seán Fearon
2032730,"St Columba's Primary School, Clady",Primary,N6,Susan Haughey
2032731,"St Teresa's Primary School, Loughmacrory",Primary,SW7,Seán Fearon
2032737,"St Colmcille's Primary School, Carrickmore",Primary,SW7,Seán Fearon
2033706,Faughanvale Primary School,Primary,N7,Deirdre Nic Suibhne
2033708,St Aidan's Primary School Magilligan,Primary,N1,John McCusker
2036008,"St Patrick's Primary School, Newtownstewart",Primary,N7,Deirdre Nic Suibhne
2036032,"St John's Primary School, Bligh's Lane",Primary,N6,Susan Haughey
2036045,"St Canice Primary School & Nursery Unit, Dungiven",Primary,N7,Deirdre Nic Suibhne
2036069,"St Anne's Primary School, Derry",Primary,N6,Susan Haughey
2036070,"St Joseph's Primary School, Ederney",Primary,SW8,Mairead Leonard
2036082,"St Colmcilles Primary School, Claudy",Primary,N7,Deirdre Nic Suibhne
2036084,Steelstown Primary School,Primary,N6,Susan Haughey
2036085,St Peter's & St Paul's Primary School,Primary,N7,Deirdre Nic Suibhne
2036090,"St Naile's Primary School, Kinawley",Primary,SW5,Aisling Clerkin
2036094,"St Patrick's Primary School, Castlederg",Primary,N3,Gearoid Rafferty
2036095,"St Mary's Primary School, Cloughcor",Primary,N7,Deirdre Nic Suibhne
2036097,"St Peter's Primary School, Plumbridge",Primary,N7,Deirdre Nic Suibhne
2036105,St Martin's Primary School,Primary,SW5,Aisling Clerkin
2036107,"St Joseph's Primary School, Lisnaskea",Primary,SW5,Aisling Clerkin
2036116,"St Conor's Primary School, Omagh",Primary,SW7,Seán Fearon
2036142,"St Brigid's Primary School, Carnhill",Primary,N6,Susan Haughey
2036143,"St Oliver Plunkett Primary School, Strathfoyle",Primary,N6,Susan Haughey
2036149,"St Finlough's Primary School, Sistrakeel",Primary,N1,John McCusker
2036153,St Scire's Primary School,Primary,SW7,Seán Fearon
2036181,"St Mary's Primary School, Teemore",Primary,SW5,Aisling Clerkin
2036186,"St Dympna's Primary School, Dromore,",Primary,SW7,Seán Fearon
2036187,"St John's Primary School, Dernaflaw",Primary,N7,Deirdre Nic Suibhne
2036213,"St Columban's Primary School, Belcoo",Primary,SW5,Aisling Clerkin
2036227,"St Paul's Primary School, Slievemore",Primary,N6,Susan Haughey
2036247,"St Columba's Primary School, Newbuildings",Primary,N6,Susan Haughey
2036258,"St Davog's Primary School, Belleek",Primary,SW5,Aisling Clerkin
2036259,"Sacred Heart Primary School, Trench Road",Primary,N6,Susan Haughey
2036288,Good Shepherd Primary School,Primary,N6,Susan Haughey
2036291,"St Oliver Plunkett Primary School, Beragh",Primary,SW7,Seán Fearon
2036356,"St Mary's Primary School, Tempo",Primary,SW5,Aisling Clerkin
2036415,"Our Lady of Lourdes Primary School, Omagh",Primary,SW7,Seán Fearon
2036449,"Christ The King Primary School, Omagh",Primary,SW7,Seán Fearon
2036458,"St Mary’s Primary School, Gortnaghey",Primary,N7,Deirdre Nic Suibhne
2036459,"St Theresa's Primary School, Glebe",Primary,N6,Susan Haughey
2036461,"St Therese's Primary School, Lenamore",Primary,N6,Susan Haughey
2036465,Chapel Road Primary School,Primary,N6,Susan Haughey
2036472,"Holy Family Primary School, Ballymagroarty",Primary,N6,Susan Haughey
2036473,"St Eithne's Primary School, Ballymagroarty",Primary,N6,Susan Haughey
2036475,Longtower Primary School,Primary,N6,Susan Haughey
2036533,Hollybush Primary School,Primary,N6,Susan Haughey
2036555,"St Eugene's Primary School, Londonderry",Primary,N6,Susan Haughey
2036557,All Saints Primary School,Primary,SW7,Seán Fearon
2036574,Bunscoil Cholmcille,Primary,N6,Susan Haughey
2036581,"St Patrick's Primary School, Pennyburn",Primary,N6,Susan Haughey
2036632,"Holy Trinity Primary School, Enniskillen",Primary,SW5,Aisling Clerkin
2036659,"St Macartan's Primary School, Roslea",Primary,SW5,Aisling Clerkin
2036674,"Holy Family Primary School, Omagh",Primary,SW7,Seán Fearon
2036696,"St Mary's Primary School, Strabane",Primary,N6,Susan Haughey
2036703,St Catherine’s Primary School,Primary,N6,Susan Haughey
2036711,Our Lady of Fatima Primary School,Primary,N7,Deirdre Nic Suibhne
2036712,"St Michael’s Primary School, Dunamanagh",Primary,N7,Deirdre Nic Suibhne
2046638,Gaelscoil Uí Dhochartaigh,Primary,N6,Susan Haughey
2046646,Gaelscoil Eadain Mhoir,Primary,N6,Susan Haughey
2046669,Bunscoil an Traonaigh,Primary,SW5,Aisling Clerkin
2046677,Gaelscoil na gCrann,Primary,SW7,Seán Fearon
2046687,Gaelscoil na Daroige,Primary,N6,Susan Haughey
2046689,Gaelscoil Leim an Mhadaidh,Primary,N1,John McCusker
2056442,Sion Mills Primary School,Primary,N6,Susan Haughey
2066549,Enniskillen Integrated Primary School,Primary,SW5,Aisling Clerkin
2066552,Omagh Integrated Primary School,Primary,SW7,Seán Fearon
2066558,Oakgrove Integrated Primary School,Primary,N6,Susan Haughey
2066665,Roe Valley Integrated Primary School,Primary,N7,Deirdre Nic Suibhne
2116023,The Academy Nursery School,Nursery,N6,Ann Woods
2116232,Strathfoyle Nursery School,Nursery,N6,Ann Woods
2116233,Lisnagelvin Nursery School,Nursery,N6,Ann Woods
2116265,Omagh North Nursery School,Nursery,SW7,Aisling Clerkin
2116266,Bligh's Lane Nursery School,Nursery,N6,Ann Woods
2116267,Carnhill Nursery School,Nursery,N6,Ann Woods
2116336,Galliagh Nursery School,Nursery,N6,Ann Woods
2116345,Belmont Nursery School,Nursery,N6,Ann Woods
2116348,Trench Road Nursery School,Nursery,N6,Ann Woods
2116608,Enniskillen Nursery,Nursery,SW5,Aisling Clerkin
2116628,Limavady Nursery School,Nursery,N7,Ann Woods
2210065,Castlederg High School,Post-primary,N4,Fionnuala McCann
2210125,Omagh High School,Post-primary,SW7,Karen McLaughlin
2210302,Limavady High School,Post-primary,N7,John Murray
2210306,Lisneal College,Post-primary,N7,John Murray
2210312,Devenish College,Post-primary,SW5,Seán Fearon
2230077,"St Mary's High School, Limavady",Post-primary,N7,John Murray
2230081,"St Mary's College, Londonderry",Post-primary,N6,Jim McNulty
2230099,St Fanchea's College,Post-primary,SW5,Seán Fearon
2230100,"St Joseph's College, Enniskillen",Post-primary,SW5,Seán Fearon
2230109,"St Mary's Secondary School, Irvinestown",Post-primary,SW5,Seán Fearon
2230122,St Patricks & St Brigids High School,Post-primary,N7,John Murray
2230131,"St Joseph's Secondary School, Londonderry",Post-primary,N6,Jim McNulty
2230138,Dean Maguirc College,Post-primary,SW7,Karen McLaughlin
2230144,"St Patrick's College, Dungiven",Post-primary,N7,John Murray
2230148,St John's College,Post-primary,SW7,Karen McLaughlin
2230166,St Aidan's High School,Post-primary,SW5,Seán Fearon
2230188,St Cecilia's College,Post-primary,N6,Jim McNulty
2230225,"St Brigid's College, Carnhill",Post-primary,N6,Jim McNulty
2230298,"Sacred Heart College, Omagh",Post-primary,SW7,Karen McLaughlin
2230301,Holy Cross College,Post-primary,N7,John Murray
2230322,St Kevin's College,Post-primary,SW5,Seán Fearon
2240319,Gaelcholáiste Dhoire ,Post-primary,N7,John Murray
2260276,Oakgrove Integrated College,Post-primary,N7,John Murray
2260280,Erne Integrated College,Post-primary,SW5,Seán Fearon
2260283,Drumragh Integrated College,Post-primary,SW7,Karen McLaughlin
2316528,Knockavoe School and Resource Centre,Special,N4,Fionnuala McCann
2316661,Arvalee School and Resource Centre,Special,SW7,Karen McLaughlin
2316662,Rossmar Special School,Special,N7,John Murray
2316694,Willowbridge School,Special,SW5,Seán Fearon
2316695,Ardnashee School,Special,N6,Jim McNulty
2410048,Limavady Grammar School,Post-primary,N7,John Murray
2410066,Omagh Academy,Post-primary,SW7,Karen McLaughlin
2410311,Strabane Academy,Post-primary,N4,Fionnuala McCann
2420041,Mount Lourdes Grammar School,Post-primary,SW5,Seán Fearon
2420043,"St Michael's College, Enniskillen",Post-primary,SW5,Seán Fearon
2420052,Thornhill College,Post-primary,N6,Jim McNulty
2420054,"St Columb's College, Londonderry",Post-primary,N6,Jim McNulty
2420064,"Christian Brothers' Grammar School, Omagh",Post-primary,SW7,Karen McLaughlin
2420065,Loreto Grammar School,Post-primary,SW7,Karen McLaughlin
2420229,Foyle College,Post-primary,N6,Jim McNulty
2420287,Lumen Christi College,Post-primary,N6,Jim McNulty
2420320,Enniskillen Royal Grammar School,Post-primary,SW5,Seán Fearon
3010404,Tildarg Primary School ,Primary,N2,Gillian McEwen
3010486,Larne and Inver Primary School ,Primary,N4,Mark Keown
3010553,Carrickfergus Model Primary School ,Primary,N4,Mark Keown
3010558,Duneane Primary School,Primary,N5,Ann Woods
